Agrément	Localité	Désignation	Ligue	Département
0000000	FFTA	LIGUE FEDERATION	0000000	0000000
0100000	LIGUE DE PROVENCE	LIGUE DE PROVENCE DE TIR A L'ARC	0100000	0000000
0200000	REGION PICARDIE	LIGUE DE PICARDIE DE TIR A L'ARC	0200000	0000000
1100000	LIGUE DE FRANCHE COMTE	LIGUE DE FRANCHE COMTE DE TIR A L'ARC	1100000	0000000
1200000	LIGUE D'AQUITAINE	LIGUE D'AQUITAINE DE TIR A L'ARC	1200000	0000000
1300000	LDNTA	LIGUE DE NORMANDIE DE TIR A L ARC	1300000	0000000
1400000	LIGUE D'AUVERGNE	LIGUE D'AUVERGNE DE TIR A L'ARC	1400000	0000000
1500000	LIGUE DE BOURGOGNE	LIGUE DE BOURGOGNE DE TIR A L'ARC	1500000	0000000
1700000	LIGUE DES FLANDRES	LIGUE DES FLANDRES DE TIR A L'ARC	1700000	0000000
1800000	LIGUE DU LIMOUSIN	LIGUE DU LIMOUSIN DE TIR A L'ARC	1800000	0000000
2000000	LLR	LIGUE DU LANGUEDOC ROUSSILLON DE TIR A L'ARC	2000000	0000000
2100000	LIGUE DE LORRAINE	LIGUE DE LORRAINE DE TIR A L'ARC	2100000	0000000
2200000	LIGUE DES PAYS DE LOIRE	LIGUE DES PAYS DE LOIRE DE TIR A L'ARC	2200000	0000000
2300000	L.C.A.	LIGUE DE COTE D'AZUR DE TIR A L'ARC	2300000	0000000
2400000	LIGUE DU CENTRE	LIGUE DU CENTRE DE TIR A L'ARC	2400000	0000000
2500000	REGION ILE DE FRANCE	COMITE REGIONAL ILE DE FRANCE DE TIR A L'ARC	2500000	0000000
2700000	LIGUE DE POITOU CHARENTE	LIGUE DE POITOU CHARENTE DE TIR A L'ARC	2700000	0000000
2800000	LIGUE DE CHAMPAGNE ARDENNE	LIGUE DE CHAMPAGNE ARDENNE DE TIR A L'ARC	2800000	0000000
2900000	LIGUE DE BRETAGNE	LIGUE DE BRETAGNE DE TIR A L'ARC	2900000	0000000
3100000	LIGUE D'ALSACE	LIGUE D'ALSACE DE TIR A L'ARC	3100000	0000000
3200000	LIGUE DE MIDI PYRENEES	LIGUE DE MIDI PYRENEES DE TIR A L'ARC	3200000	0000000
3300000	CRRATA	COMITE REGIONAL RHONE ALPES DE TIR A L'ARC	3300000	0000000
3400000	LIGUE DE CORSE	LIGUE DE CORSE DE TIR A L'ARC	3400000	0000000
3500000	LIGUE DE REUNION	LIGUE DE REUNION DE TIR A L'ARC	3500000	0000000
3600000	LIGUE DE GUYANE	LIGUE DE GUYANE DE TIR A L'ARC	3600000	0000000
3700000		LIGUE DE GUADELOUPE DE TIR A L'ARC	3700000	0000000
3800000	LIGUE DE NOUVELLE CALEDONIE	LIGUE DE NOUVELLE CALEDONIE DE TIR A L'ARC	3800000	0000000
3900000	L.M.T.A.	LIGUE MARTINIQUAISE DE TIR A L'ARC	3900000	0000000
