"AGREMENTENTITE";"NOMENTITE";"ADRESSEENTITE";"CODEPOSTALENTITE";"VILLEENTITE";"PAYS";"NOTEENTITE"
"252FAO";"Francs Archers d’Ottignies";"Plaine des Coquerées 50A,
Rue des Coquerées
";"1340";"Ottignies ";"be";"Autre Adresse:

Centre Sportif de Blocry 1,
Place des Sports,
1348 Louvain-la-Neuve

Courriel : fao@lfbta.be et francs_archers_ottignies@yahoo.fr
Site web : http://www.fao.be
"
"253LAS";"Lasne Archery Sport";"entre Sportif de Lasne,
route d’Ohain";"1380";"Lasne";"be";"Courriel : lasnearcherysport@skynet.be"
"255ABA";"Archers du Grand Serment de Saint-Sébastien Braine l’Alleud";"Complexe Sportif Gaston Reiff,
215 Rue Ernest Laurent";"1420";"Braine-l’Alleud";"be";"Courriel : aba@lfbta.be"
"256CMA";"Cardinal Mercier Archery";"Centre Sportif C.M. 83,
Chaussée de Mt St Jean";"1420";"Braine-l’Alleud";"be";"Courriel : serge.jacques@ccmsports.be"
"258LAJ";"Les Archers de Jodoigne";"Hall Baudouin 1er 77,
Chaussée de Tirlemont";"1370";"Jodoigne";"be";""
"201FOA";"Flèche d’Or d’Anderlecht ";"Ecole communale
112a Bd Sylvain Dupuis";"1070";"Bruxelles";"be";"Courriel : foa@lfbta.be
Site internet : http://www.foa-anderlecht.be/"
"203GSR";"Grand Serment Royal des Archers de St Sébastien Bruxelles";"Maison des Archers,
1, avenue de Marathon";"1020";"Bruxelles";"be";"Tel: 02/478.72.05
Courriel : gsr@lfbta.be
Site web : http://www.gsrb.be"
"204GPE";"De Gouden Pijl Evere";"Local du Gouden Pijl
45, rue E.Stuckens";"1140";"Bruxelles";"be";"Courriel : gpe@lfbta.be
Site web : http://www.degoudenpijl.be"
"205SSK";"Compagnie d’Arc St Sébastien Kraainem";"Salle Omnisport
avenue du Patronage";"1950";"Kraainem";"be";"Courriel : ssk@lfbta.be
Site web : http://ssk2.jimdo.com/"
"207GAU";"Gilde des Archers de Saint-Pierre";"P.U.C
14, Rue Robert Scott";"1180";"Uccle";"be";"Courriel : gau@lfbta.be, pvw_gau@yahoo.fr et pamba@skynet.be
Site web : http://www.gildedesarchers.be"
"301ANT";"Confrérie St Sébastien Antoing";"Salle du Club
1 rue de Fontenoy";"7640";"Antoing";"be";""
"302LFE";"La Fine Equipe Ellezelles";"Salle de Sport
38 b, rue de Renaix";"7890";"Ellezelles";"be";"Terrain extérieur : Quesnoy 23, 7890 Wodecq
Courriel : lfe@lfbta.be"
"303BEA";"Confrérie St Sébastien Beaumont";"Berceau St Sébastien
35, rue de Binche";"6500";"Beaumont ";"be";""
"304CAT";"Club des Archers de Tournai";"Pas du Roc
1bis, rue de la Dondaine";"7536";"Vaulx";"be";"Courriel : cat@lfbta.be
Site : http://cat304.e-monsite.com/"
"305CAR";"Compagnie des Archers Réunis";"Salle « La Marelle » 
87 rue Clément Daix";"6240";"Farciennes";"be";"Courriel : car@lfbta.be"
"306CEN";"Le Centaure Fleurus";"salle annexe piscine Fleurus
rue Fleurjoux";"6220";"Fleurus";"be";"Courriel : cen@lfbta.be
Site web : http://www.lecentaure.be.cx"
"307CAC";"Cie des Archers du Château Gerpinnes";"Salle « Le Cochonnet d’Or »,
21/23 rue des Haies";"";"Couillet";"be";""
"308RCM";"Royale Confrérie St Sébastien de Mouscron";"Plaine de Neckere
150a, chée d’Aalbeke ";"7700";"Mouscron";"be";"Courriel : rcm@lfbta.be"
